release_year,cast,vote_average
1960,Anthony Perkins,8.0
1960,Vera Miles,8.0
1960,John Gavin,8.0
1960,Janet Leigh,8.0
1960,Martin Balsam,8.0
1960,Yul Brynner,7.0
1960,Eli Wallach,7.0
1960,Steve McQueen,7.0
1960,Charles Bronson,7.0
1960,Robert Vaughn,7.0
1960,Kirk Douglas,6.8984375
1960,Laurence Olivier,6.8984375
1960,Jean Simmons,6.8984375
1960,Charles Laughton,6.8984375
1960,Peter Ustinov,6.8984375
1960,Jack Lemmon,7.8984375
1960,Shirley MacLaine,7.8984375
1960,Fred MacMurray,7.8984375
1960,Ray Walston,7.8984375
1960,Jack Kruschen,7.8984375
1960,Marilyn Monroe,4.8984375
1960,Yves Montand,4.8984375
1960,Tony Randall,4.8984375
1960,Frankie Vaughan,4.8984375
1960,Wilfrid Hyde-White,4.8984375
1960,Rod Taylor,7.30078125
1960,Alan Young,7.30078125
1960,Yvette Mimieux,7.30078125
1960,Sebastian Cabot,7.30078125
1960,Tom Helmore,7.30078125
1960,Karlheinz BÃ¶hm,7.3984375
1960,Moira Shearer,7.3984375
1960,Anna Massey,7.3984375
1960,Maxine Audley,7.3984375
1960,Brenda Bruce,7.3984375
1960,John Mills,6.8984375
1960,Dorothy McGuire,6.8984375
1960,James MacArthur,6.8984375
1960,Janet Munro,6.8984375
1960,Sessue Hayakawa,6.8984375
1960,Frank Sinatra,6.6015625
1960,Dean Martin,6.6015625
1960,Peter Lawford,6.6015625
1960,Angie Dickinson,6.6015625
1960,Richard Conte,6.6015625
1960,Burt Lancaster,4.8984375
1960,Audrey Hepburn,4.8984375
1960,Audie Murphy,4.8984375
1960,John Saxon,4.8984375
1960,Lillian Gish,4.8984375
1960,Cary Grant,4.8984375
1960,Deborah Kerr,4.8984375
1960,Robert Mitchum,4.8984375
1960,Jean Simmons,4.8984375
1960,Moray Watson,4.8984375
1960,Peter Cushing,6.6015625
1960,Martita Hunt,6.6015625
1960,Yvonne Monlaur,6.6015625
1960,Freda Jackson,6.6015625
1960,David Peel,6.6015625
1960,Vincent Price,5.8984375
1960,Mark Damon,5.8984375
1960,Myrna Fahey,5.8984375
1960,Harry Ellerbe,5.8984375
1960,David Andar,5.8984375
1960,Albert Finney,5.6015625
1960,Shirley Anne Field,5.6015625
1960,Rachel Roberts,5.6015625
1960,Hylda Baker,5.6015625
1960,Norman Rossington,5.6015625
1960,Jeffrey Hunter,5.19921875
1960,Woody Strode,5.19921875
1960,Constance Towers,5.19921875
1960,Billie Burke,5.19921875
1960,Juano HernÃ¡ndez,5.19921875
1960,Randolph Scott,6.5
1960,Nancy Gates,6.5
1960,Skip Homeier,6.5
1960,Dyke Johnson,6.5
1960,Foster Hood,6.5
1960,Elvis Presley,5.8984375
1960,Steve Forrest,5.8984375
1960,Barbara Eden,5.8984375
1960,Dolores del RÃ­o,5.8984375
1960,Rodolfo Acosta,5.8984375
1960,Hayley Mills,7.19921875
1960,Jane Wyman,7.19921875
1960,Richard Egan,7.19921875
1960,Karl Malden,7.19921875
1960,Nancy Olson,7.19921875
1960,Doris Day,5.69921875
1960,Rex Harrison,5.69921875
1960,John Gavin,5.69921875
1960,Myrna Loy,5.69921875
1960,Roddy McDowall,5.69921875
1960,Jackie Joseph,6.0
1960,Mel Welles,6.0
1960,Jack Nicholson,6.0
1960,Leola Wendorff,6.0
1960,Myrtle Vail,6.0
1960,John Wayne,6.19921875
1960,Richard Widmark,6.19921875
1960,Laurence Harvey,6.19921875
1960,Frankie Avalon,6.19921875
1960,Patrick Wayne,6.19921875
1960,Kenneth More,4.8984375
1960,Dana Wynter,4.8984375
1960,Carl MÃ¶hner,4.8984375
