release_year,production_companies,vote_average
1960,Shamley Productions,8.0
1960,The Mirisch Corporation,7.0
1960,Alpha Productions,7.0
1960,Bryna Productions,6.8984375
1960,United Artists,7.8984375
1960,The Mirisch Company,7.8984375
1960,Twentieth Century Fox Film Corporation,4.8984375
1960,The Company of Artists,4.8984375
1960,George Pal Productions,7.30078125
1960,Galaxy Films Inc.,7.30078125
1960,National Film Finance Corporation (NFFC),7.3984375
1960,Anglo-Amalgamated Productions,7.3984375
1960,Buena Vista Pictures,6.8984375
1960,Warner Bros.,6.6015625
1960,Dorchester,6.6015625
1960,James Productions,4.8984375
1960,Grandon Productions,4.8984375
1960,Hammer Film Productions,6.6015625
1960,Hotspur Film Productions Ltd.,6.6015625
1960,Alta Vista Productions,5.8984375
1960,Woodfall Film Productions,5.6015625
1960,John Ford Productions,5.19921875
1960,Columbia Pictures Corporation,6.5
1960,Ranown Pictures Corp.,6.5
1960,Twentieth Century Fox Film Corporation,5.8984375
1960,Walt Disney Productions,7.19921875
1960,Arwin Productions,5.69921875
1960,Universal International Pictures (UI),5.69921875
1960,Santa Clara Productions,6.0
1960,United Artists,6.19921875
1960,Batjac Productions,6.19921875
1960,The Alamo Company,6.19921875
1960,Twentieth Century Fox Film Corporation,4.8984375
1960,Stanley Kramer Productions,6.80078125
1960,Twentieth Century Fox Film Corporation,6.0
1960,United Artists,6.30078125
1960,Peter Rogers Productions,6.0
1960,Metro-Goldwyn-Mayer (MGM),7.0
1960,Paramount Pictures,7.0
1960,Jerry Lewis Productions,7.0
1960,Columbia Pictures,5.5
1960,William Castle Productions,5.5
1960,Paramount Pictures,7.19921875
1960,Jerry Lewis Productions,7.19921875
1960,Vulcan Productions Inc.,6.1015625
1960,Carlyle Productions,6.1015625
1961,Walt Disney Productions,6.6015625
1961,Jurow-Shepherd,7.3984375
1961,United Artists,6.6015625
1961,20th Century Fox Home Entertainment,6.6015625
1961,Columbia Pictures,7.0
1961,Metro-Goldwyn-Mayer (MGM),6.80078125
1961,United Artists,6.69921875
1961,Roxlom Films,6.69921875
