release_year,genres,vote_average
1960,Drama,8.0
1960,Horror,8.0
1960,Thriller,8.0
1960,Action,7.0
1960,Adventure,7.0
1960,Western,7.0
1960,Action,6.8984375
1960,Drama,6.8984375
1960,History,6.8984375
1960,Comedy,7.8984375
1960,Drama,7.8984375
1960,Romance,7.8984375
1960,Comedy,4.8984375
1960,Romance,4.8984375
1960,Thriller,7.30078125
1960,Adventure,7.30078125
1960,Fantasy,7.30078125
1960,Science Fiction,7.30078125
1960,Romance,7.30078125
1960,Horror,7.3984375
1960,Thriller,7.3984375
1960,Adventure,6.8984375
1960,Family,6.8984375
1960,Thriller,6.6015625
1960,Music,6.6015625
1960,Comedy,6.6015625
1960,Crime,6.6015625
1960,Action,4.8984375
1960,Drama,4.8984375
1960,Western,4.8984375
1960,Comedy,4.8984375
1960,Drama,4.8984375
1960,Romance,4.8984375
1960,Horror,6.6015625
1960,Horror,5.8984375
1960,Thriller,5.8984375
1960,Drama,5.6015625
1960,Crime,5.19921875
1960,Western,5.19921875
1960,Action,6.5
1960,Western,6.5
1960,Action,5.8984375
1960,Drama,5.8984375
1960,Romance,5.8984375
1960,Western,5.8984375
1960,Drama,7.19921875
1960,Family,7.19921875
1960,Thriller,5.69921875
1960,Comedy,6.0
1960,Action,6.19921875
1960,Adventure,6.19921875
1960,Drama,6.19921875
1960,History,6.19921875
1960,Western,6.19921875
1960,Action,4.8984375
1960,Drama,4.8984375
1960,Foreign,4.8984375
1960,History,4.8984375
1960,War,4.8984375
1960,Drama,6.80078125
1960,History,6.80078125
1960,Adventure,6.0
1960,Fantasy,6.0
1960,Science Fiction,6.0
1960,Drama,6.30078125
1960,Comedy,6.0
1960,Horror,7.0
1960,Science Fiction,7.0
1960,Comedy,7.0
1960,Family,7.0
1960,Horror,5.5
1960,Comedy,7.19921875
1960,Romance,7.19921875
1960,Horror,6.1015625
1960,Action,6.1015625
1960,Drama,6.1015625
1960,History,6.1015625
1960,War,6.1015625
1961,Adventure,6.6015625
1961,Animation,6.6015625
1961,Comedy,6.6015625
1961,Family,6.6015625
1961,Comedy,7.3984375
1961,Drama,7.3984375
1961,Romance,7.3984375
1961,Music,6.6015625
1961,Crime,6.6015625
1961,Drama,6.6015625
1961,Action,7.0
1961,Adventure,7.0
1961,Drama,7.0
1961,War,7.0
1961,Drama,6.80078125
1961,Crime,6.80078125
1961,Mystery,6.80078125
1961,Comedy,6.80078125
1961,Drama,6.69921875
1961,History,6.69921875
1961,Comedy,6.3984375
1961,Family,6.3984375
1961,Western,6.19921875
1961,Action,6.19921875
1961,Adventure,6.19921875
1961,Action,6.6015625
1961,Drama,6.6015625
1961,History,6.6015625
1961,Romance,6.6015625
1961,War,6.6015625
1961,Horror,6.6015625
1961,Drama,7.30078125
1961,Drama,5.8984375
1961,Drama,6.19921875
1961,Action,6.19921875
1961,Romance,6.19921875
1961,Comedy,6.30078125
1961,Family,6.30078125
1961,Science Fiction,6.30078125
1961,Horror,6.30078125
1961,Action,6.30078125
1961,Adventure,6.30078125
1961,Science Fiction,6.30078125
1961,Drama,5.19921875
1961,Romance,5.19921875
1961,Horror,7.0
1961,Drama,7.0
1961,Western,6.1015625
1961,Action,6.1015625
1961,Comedy,7.5
1961,Family,7.5
1961,Comedy,5.80078125
1961,Romance,5.80078125
1961,Adventure,6.0
1961,Drama,6.0
1961,History,6.0
1961,Comedy,6.1015625
1961,Drama,6.1015625
1961,Comedy,5.80078125
1961,Music,5.80078125
1961,Romance,5.80078125
1961,Fantasy,5.30078125
1961,Drama,5.30078125
1961,Action,5.30078125
1961,Foreign,5.30078125
1961,Adventure,5.30078125
1961,Science Fiction,7.19921875
1961,Drama,7.19921875
1961,Comedy,7.19921875
1961,Western,5.30078125
1961,Romance,6.30078125
1961,Drama,6.30078125
1962,Adventure,6.69921875
1962,Action,6.69921875
1962,Thriller,6.69921875
1962,Adventure,7.5
1962,Drama,7.5
1962,History,7.5
1962,War,7.5
1962,Drama,6.8984375
1962,Romance,6.8984375
1962,Crime,7.69921875
1962,Drama,7.69921875
1962,Mystery,7.0
1962,Thriller,7.0
1962,Action,5.0
1962,Adventure,5.0
1962,Comedy,5.0
1962,Drama,7.0
1962,Thriller,7.0
1962,Western,6.1015625
1962,Action,6.1015625
1962,Adventure,6.1015625
1962,Drama,6.1015625
1962,Adventure,6.0
1962,Drama,6.0
1962,History,6.0
1962,Romance,6.0
